PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Quat_q0,Quat_q1,Quat_q2,Quat_q3
19741,NaN,9.87843,-0.457495,-0.742563,0.026727,0.034943,-0.008144,1.166016,-0.14209,0.116943,-0.031377,0.732895,-0.004902,0.6796
19742,NaN,9.851534,-0.438099,-0.729379,0.017261,0.034031,-0.003834,1.168213,-0.139893,0.114746,-0.031451,0.732845,-0.004915,0.679651
19743,NaN,9.83994,-0.44006,-0.693414,0.018548,0.037611,-0.000906,1.165771,-0.137695,0.112549,-0.031534,0.732785,-0.004939,0.679712
19744,NaN,9.836769,-0.417247,-0.744599,0.007675,0.039922,0.004703,1.165527,-0.131104,0.112305,-0.0316,0.732716,-0.005013,0.679781
19745,NaN,9.824269,-0.469745,-0.674992,0.003177,0.038537,0.011282,1.16333,-0.135498,0.114502,-0.031668,0.732655,-0.005134,0.679843
19746,NaN,9.830867,-0.445199,-0.703992,-0.004075,0.040078,0.015018,1.17041,-0.137451,0.118896,-0.031733,0.732589,-0.005272,0.679911
19747,NaN,9.8259,-0.522915,-0.688396,0.000882,0.0396,0.017296,1.163574,-0.137695,0.112305,-0.031813,0.732524,-0.005423,0.679976
19748,NaN,9.858772,-0.567208,-0.693735,0.003639,0.036438,0.013478,1.168213,-0.139893,0.108154,-0.031902,0.732467,-0.005531,0.680032
19749,NaN,9.855644,-0.545495,-0.745097,0.008114,0.038051,0.013565,1.15918,-0.14209,0.110352,-0.031996,0.732407,-0.005644,0.680092
19750,NaN,9.838408,-0.525065,-0.709528,0.00541,0.037689,0.011938,1.166016,-0.14209,0.114746,-0.032058,0.732349,-0.005776,0.680149
19751,NaN,9.83861,-0.526174,-0.705899,0.012893,0.035096,0.009306,1.170654,-0.141846,0.114746,-0.032155,0.732298,-0.005856,0.680199
19752,NaN,9.849779,-0.574738,-0.701401,0.014727,0.033066,0.008983,1.163574,-0.137695,0.116699,-0.03226,0.732252,-0.005923,0.680243
19753,NaN,9.860713,-0.523255,-0.709115,0.016264,0.035363,0.006347,1.175049,-0.141846,0.112549,-0.03236,0.7322,-0.005981,0.680294
19754,NaN,9.834981,-0.555334,-0.717159,0.02055,0.034736,0.006558,1.167969,-0.137451,0.114502,-0.032482,0.732148,-0.006012,0.680344
19755,NaN,9.833932,-0.505762,-0.692572,0.026435,0.033124,0.005351,1.163818,-0.144287,0.116943,-0.032615,0.732101,-0.006031,0.680388
19756,NaN,9.806927,-0.4874,-0.679739,0.011338,0.032551,0.005279,1.168457,-0.148682,0.119385,-0.032699,0.732058,-0.00609,0.68043
19757,NaN,9.849496,-0.528163,-0.663197,0.016291,0.032072,0.007566,1.165771,-0.137695,0.114502,-0.032802,0.732016,-0.006152,0.680469
19758,NaN,9.833215,-0.457831,-0.661831,0.008664,0.029145,0.011527,1.168213,-0.139893,0.114746,-0.032898,0.731984,-0.006244,0.680498
19759,NaN,9.81289,-0.514044,-0.670004,0.003942,0.028577,0.010337,1.163574,-0.139893,0.118896,-0.032966,0.731956,-0.006357,0.680524
19760,NaN,9.855369,-0.555209,-0.654004,0.001968,0.025085,0.011996,1.168457,-0.146484,0.117188,-0.033044,0.731939,-0.006464,0.680538
19761,NaN,9.830652,-0.538123,-0.696671,0.005831,0.023264,0.011235,1.161377,-0.139893,0.112549,-0.033122,0.731929,-0.006573,0.680543
19762,NaN,9.840426,-0.536438,-0.67205,-0.000729,0.024726,0.010363,1.166016,-0.144287,0.116943,-0.033172,0.731915,-0.006699,0.680555
19763,NaN,9.81039,-0.595246,-0.703081,0.000685,0.021503,0.009067,1.163574,-0.137695,0.114502,-0.033224,0.731912,-0.006817,0.680555
19764,NaN,9.840609,-0.53843,-0.667769,0.020115,0.018158,0.010592,1.163574,-0.137695,0.110352,-0.033359,0.731916,-0.006861,0.680544
19765,NaN,9.862429,-0.534804,-0.675855,0.005212,0.019831,0.01038,1.161621,-0.146484,0.119141,-0.033432,0.731918,-0.006969,0.680537
19766,NaN,9.836564,-0.567031,-0.685602,0.008414,0.017861,0.007548,1.166016,-0.144287,0.119141,-0.033508,0.731925,-0.007048,0.680524
19767,NaN,9.809427,-0.548898,-0.674383,0.007049,0.017801,0.010061,1.166016,-0.14209,0.119141,-0.033587,0.731933,-0.007148,0.68051
19768,NaN,9.876021,-0.585991,-0.723822,0.012517,0.014995,0.007888,1.166016,-0.144287,0.116943,-0.033695,0.731948,-0.007196,0.680489
19769,NaN,9.821671,-0.548763,-0.70336,0.016989,0.016602,0.007986,1.164063,-0.148682,0.11499,-0.033803,0.731958,-0.007254,0.680472
19770,NaN,9.831375,-0.54691,-0.679404,0.00662,0.016607,0.009084,1.16626,-0.148682,0.11499,-0.033879,0.73197,-0.007348,0.680455
19771,NaN,9.808426,-0.602185,-0.634314,0.011147,0.014934,0.010402,1.164063,-0.150879,0.11499,-0.033974,0.731987,-0.007434,0.68043
19772,NaN,9.821848,-0.551774,-0.698507,0.015195,0.015347,0.009524,1.161621,-0.146484,0.110596,-0.034076,0.732002,-0.007511,0.680409
19773,NaN,9.826107,-0.526133,-0.67507,0.006559,0.019885,0.007864,1.166016,-0.144287,0.119141,-0.034145,0.732003,-0.007605,0.680403
19774,NaN,9.82073,-0.602955,-0.661567,0.005346,0.013027,0.006154,1.16626,-0.146484,0.117188,-0.034206,0.732027,-0.007689,0.680373
19775,NaN,9.854721,-0.596784,-0.70237,-0.003711,0.016373,0.003516,1.163818,-0.144287,0.121338,-0.034223,0.732042,-0.007801,0.680354
19776,NaN,9.850651,-0.623464,-0.72243,0.003308,0.015859,-0.001287,1.164063,-0.150879,0.117188,-0.034268,0.732055,-0.007846,0.680338
19777,NaN,9.860399,-0.620407,-0.69852,0.004433,0.016959,-0.004898,1.168701,-0.150879,0.119385,-0.034287,0.732068,-0.0079,0.680323
19778,NaN,9.795249,-0.633603,-0.666954,-0.009234,0.016222,-0.014179,1.164063,-0.150879,0.119385,-0.034232,0.732082,-0.007958,0.680309
19779,NaN,9.856571,-0.644757,-0.717444,0.028583,0.004892,-0.012909,1.166016,-0.144287,0.110596,-0.034312,0.732132,-0.007898,0.680253
19780,NaN,9.888082,-0.536015,-0.716852,0.020889,0.008293,-0.018063,1.16626,-0.150879,0.11499,-0.034348,0.73217,-0.00784,0.68021
19781,NaN,9.796952,-0.580203,-0.69785,0.026789,0.00364,-0.011372,1.166016,-0.144287,0.114746,-0.034427,0.732224,-0.007792,0.680149
19782,NaN,9.831271,-0.494705,-0.642272,0.020415,0.00734,-0.012378,1.163818,-0.144287,0.114746,-0.034482,0.732265,-0.007755,0.680102
19783,NaN,9.872089,-0.561337,-0.704085,0.002614,0.00667,-0.007465,1.168457,-0.148682,0.106445,-0.034486,0.732313,-0.007804,0.68005
19784,NaN,9.849137,-0.614718,-0.659992,0.003797,0.00449,-0.009855,1.166504,-0.153076,0.113037,-0.034477,0.732369,-0.007843,0.679989
19785,NaN,9.824592,-0.595562,-0.704578,0.001714,0.007561,-0.010638,1.170654,-0.141846,0.112549,-0.034466,0.732414,-0.007883,0.679941
19786,NaN,9.830163,-0.618382,-0.703226,0.008265,0.006097,-0.009753,1.168457,-0.146484,0.11499,-0.034484,0.732462,-0.007899,0.679888
19787,NaN,9.861646,-0.609898,-0.690117,0.020828,0.008533,-0.011399,1.164063,-0.148682,0.11499,-0.03454,0.732501,-0.007872,0.679844
19788,NaN,9.831659,-0.566833,-0.735195,0.013254,0.005373,-0.014115,1.163818,-0.146484,0.108398,-0.034568,0.732549,-0.007847,0.67979
19789,NaN,9.809993,-0.570532,-0.724541,0.014992,0.006869,-0.008989,1.16626,-0.148682,0.11499,-0.034611,0.732594,-0.007848,0.67974
19790,NaN,9.842711,-0.51252,-0.745078,0.013671,0.006565,-0.013138,1.168457,-0.144287,0.112793,-0.034633,0.73264,-0.007838,0.679689
19791,NaN,9.829388,-0.562776,-0.678526,-0.006626,0.007769,-0.009992,1.159424,-0.148682,0.112793,-0.034593,0.732686,-0.007909,0.679641
19792,NaN,9.849782,-0.584721,-0.763831,0.000763,0.008694,-0.007152,1.166016,-0.14209,0.110352,-0.034594,0.732726,-0.007958,0.679597
19793,NaN,9.847254,-0.58304,-0.708715,0.002007,0.003237,-0.008319,1.163574,-0.14209,0.112549,-0.034592,0.732785,-0.008005,0.679533
19794,NaN,9.829668,-0.560157,-0.676637,-0.009311,0.007408,-0.01163,1.170898,-0.148682,0.112793,-0.034545,0.732833,-0.008061,0.679484
19795,NaN,9.812172,-0.714887,-0.729035,-0.001337,0.002726,-0.012032,1.159668,-0.15332,0.113037,-0.034518,0.732894,-0.008105,0.679418
19796,NaN,9.859922,-0.67761,-0.727039,0.036285,0.001257,-0.014395,1.164063,-0.148682,0.110596,-0.034621,0.732953,-0.008013,0.67935
19797,NaN,9.818998,-0.508658,-0.676679,0.005132,0.007568,-0.020248,1.159424,-0.148682,0.112793,-0.03459,0.732998,-0.008007,0.679304
19798,NaN,9.823403,-0.658086,-0.738716,0.01234,0.00626,-0.017285,1.16626,-0.146484,0.11499,-0.034594,0.733045,-0.007987,0.679253
19799,NaN,9.84395,-0.600701,-0.727017,0.014865,0.007161,-0.030066,1.168457,-0.146484,0.110596,-0.034566,0.733089,-0.007911,0.679208
19800,NaN,9.834626,-0.600791,-0.748285,0.001235,0.012407,-0.027382,1.16626,-0.150879,0.11084,-0.034506,0.733117,-0.007876,0.679181
19801,NaN,9.83636,-0.648347,-0.767984,0.018836,0.010853,-0.032159,1.16626,-0.150879,0.108643,-0.034485,0.733148,-0.00778,0.679149
19802,NaN,9.855454,-0.539783,-0.734905,0.019248,0.012045,-0.031183,1.16626,-0.146484,0.110596,-0.034461,0.733176,-0.007694,0.679122
19803,NaN,9.833919,-0.5417,-0.723835,0.017285,0.008558,-0.029523,1.170654,-0.14624,0.11499,-0.034443,0.733215,-0.007613,0.679081
19804,NaN,9.778535,-0.628728,-0.767586,0.01313,0.011668,-0.023214,1.168457,-0.144287,0.106201,-0.034442,0.733243,-0.007552,0.679052
19805,NaN,9.835265,-0.409513,-0.65852,0.024971,0.005176,-0.024356,1.164063,-0.150879,0.108643,-0.03447,0.733292,-0.007462,0.678998
19806,NaN,9.838278,-0.430222,-0.602445,-0.031903,0.012414,-0.017054,1.168457,-0.144287,0.110596,-0.034304,0.733328,-0.007602,0.678967
19807,NaN,9.918614,-0.740282,-0.756115,-0.00518,0.004271,-0.017945,1.171143,-0.153076,0.108643,-0.034243,0.733385,-0.007638,0.678908
19808,NaN,9.861238,-0.677928,-0.792441,0.027018,0.002372,-0.016905,1.166016,-0.144287,0.114746,-0.034303,0.733443,-0.007567,0.678843
